adjacent	('adjacent',)
descriptive~nearest	('nearest~descriptive',)
descriptive~nearest~value	('value~nearest~descriptive',)
event	('event',)
event~probability	('probability~event',)
lebesgue	('lebesgue',)
measure	('measure',)
almost	('almost',)
surely	('surely',)
descriptive~event	('event~descriptive',)
descriptive~event~probability	('probability~event~descriptive',)
lebesgue~measure	('measure~lebesgue',)
event~lebesgue~measure	('event~measure~lebesgue',)
anomalous	('anomalous',)
descriptive~number	('number~descriptive',)
anomalous~descriptive~number	('anomalous~number~descriptive',)
anomalous~statistics	('statistics~anomalous',)
anomalous~descriptive~statistics	('descriptive~statistics~anomalous',)
anomalous~descriptive~number~statistics	('number~descriptive~statistics~anomalous',)
cancellation	('cancellation',)
benford	('benford',)
benford~cancellation	('cancellation~benford',)
anomalous~benford~cancellation	('anomalous~cancellation~benford',)
anomalous~benford~cancellation~statistics	('statistics~anomalous~cancellation~benford',)
law	('law',)
set	('set',)
similar	('similar',)
similar~value	('value~similar',)
set~similar~value	('set~value~similar',)
meaning	('meaning',)
meaning~similar	('similar~meaning',)
meaning~similar~value	('value~similar~meaning',)
meaning~set~similar~value	('set~value~similar~meaning',)
manner	('manner',)
batch	('batch',)
descriptive~set	('set~descriptive',)
phenomenological	('phenomenological',)
law~phenomenological	('phenomenological~law',)
first	('first',)
first~law	('law~first', 'first~law')
first~law~phenomenological	('phenomenological~law~first',)
digit	('digit',)
digit~first	('first~digit', 'digit~first')
digit~first~law	('law~first~digit', 'digit~law~first', 'digit~first~law', 'first~digit~law', 'law~digit~first')
digit~first~law~phenomenological	('phenomenological~law~first~digit',)
phenomenon	('phenomenon',)
leading	('leading',)
leading~phenomenon	('phenomenon~leading',)
digit~leading~phenomenon	('digit~phenomenon~leading', 'phenomenon~leading~digit')
digit~first~leading~phenomenon	('first~digit~phenomenon~leading',)
digit~leading	('leading~digit',)
benford~phenomenon	('phenomenon~benford',)
benford~digit~phenomenon	('digit~phenomenon~benford',)
benford~digit~leading~phenomenon	('leading~digit~phenomenon~benford', 'phenomenon~leading~digit~benford')
benford~law	('benford~law', 'law~benford')
benford~law~phenomenon	('phenomenon~benford~law',)
benford~digit~law~phenomenon	('digit~phenomenon~benford~law',)
listings	('listings',)
tables	('tables',)
listings~tables	('listings~tables',)
law~listings~tables	('law~listings~tables',)
benford~law~listings~tables	('benford~law~listings~tables',)
etc	('etc',)
tends	('tends',)
greater	('greater',)
expected	('expected',)
expected~phenomenological	('phenomenological~expected',)
one	('one',)
law~one	('law~one',)
